Provincia,Localidad,Municipio,Departamento,Latitud,Longitud
Buenos Aires,COLON,Colón,Colón,-33.8978633606345,-61.099560506382
Buenos Aires,EL ARBOLITO,Colón,Colón,-33.9147838019682,-60.9438081845998
Buenos Aires,PEARSON,Colón,Colón,-33.6518963027432,-60.8922239880462
Buenos Aires,SARASA,Colón,Colón,-34.0523353092344,-61.2019040914739
Buenos Aires,BAJO HONDO,Coronel de Marina Leonardo Rosales,Coronel de Marina Leonardo Rosales,-38.7648159927502,-61.9184051093309
Buenos Aires,BALNEARIO PEHUEN CO,Coronel de Marina Leonardo Rosales,Coronel de Marina Leonardo Rosales,-38.9961963948629,-61.5471990087107
Buenos Aires,PAGO CHICO,Coronel de Marina Leonardo Rosales,Coronel de Marina Leonardo Rosales,-38.7839402799391,-62.1195194756714
Buenos Aires,PUNTA ALTA,Coronel de Marina Leonardo Rosales,Coronel de Marina Leonardo Rosales,-38.8813527346955,-62.0749536088688
Buenos Aires,PUNTA ALTA,Coronel de Marina Leonardo Rosales,Coronel de Marina Leonardo Rosales,-38.8823547797498,-62.0626706347168
Buenos Aires,VILLA DEL MAR,Coronel de Marina Leonardo Rosales,Coronel de Marina Leonardo Rosales,-38.8532242630709,-62.1164752039925
Buenos Aires,VILLA GENERAL ARIAS,Coronel de Marina Leonardo Rosales,Coronel de Marina Leonardo Rosales,-38.8069001411051,-62.09498539538
Buenos Aires,APARICIO,Coronel Dorrego,Coronel Dorrego,-38.6204949120776,-60.8809603426407
Buenos Aires,BALNEARIO MARISOL,Coronel Dorrego,Coronel Dorrego,-38.9224906889726,-60.5329774471942
Buenos Aires,CORONEL DORREGO,Coronel Dorrego,Coronel Dorrego,-38.7166239148323,-61.2884948879698
Buenos Aires,EL PERDIDO,Coronel Dorrego,Coronel Dorrego,-38.6757752787604,-61.0884421797928
Buenos Aires,FARO,Coronel Dorrego,Coronel Dorrego,-38.7966781095909,-61.0688772134763
Buenos Aires,IRENE,Coronel Dorrego,Coronel Dorrego,-38.5543426342658,-60.6954938748393
Buenos Aires,ORIENTE,Coronel Dorrego,Coronel Dorrego,-38.7388491145692,-60.6092238150829
Buenos Aires,LA RUTA,Coronel Dorrego,Coronel Dorrego,-38.6534164106777,-60.8608557685895
Buenos Aires,SAN ROMAN,Coronel Dorrego,Coronel Dorrego,-38.7415550885108,-61.5377200112301
Buenos Aires,CORONEL PRINGLES,Coronel Pringles,Coronel Pringles,-37.9865210556901,-61.3540715661069
Buenos Aires,EL DIVISORIO,Coronel Pringles,Coronel Pringles,-38.3235636030787,-61.4450578127822
Buenos Aires,EL PENSAMIENTO,Coronel Pringles,Coronel Pringles,-38.2154094275446,-61.3145847771451
Buenos Aires,INDIO RICO,Coronel Pringles,Coronel Pringles,-38.3293770967784,-60.8866340266383
Buenos Aires,LARTIGAU,Coronel Pringles,Coronel Pringles,-38.44591903663,-61.566096860456
Buenos Aires,CASCADAS,Coronel Suárez,Coronel Suárez,-37.2899615825436,-62.2971682457111
Buenos Aires,CORONEL SUAREZ,Coronel Suárez,Coronel Suárez,-37.4596224938744,-61.9317530113989
Buenos Aires,CURA MALAL,Coronel Suárez,Coronel Suárez,-37.4843018699441,-62.10361959864
Buenos Aires,D'ORBIGNY,Coronel Suárez,Coronel Suárez,-37.6772293087783,-61.7052608546557
Buenos Aires,HUANGUELEN,Coronel Suárez,Coronel Suárez,-37.0622288209544,-61.9297529087938
Buenos Aires,PASMAN,Coronel Suárez,Coronel Suárez,-37.2234351404125,-62.1602259170472
Buenos Aires,SAN JOSE,Coronel Suárez,Coronel Suárez,-37.5077480260109,-61.9211473085303
Buenos Aires,SANTA MARIA,Coronel Suárez,Coronel Suárez,-37.5565856774998,-61.872634363442
Buenos Aires,SANTA TRINIDAD,Coronel Suárez,Coronel Suárez,-37.4891036510029,-61.9252761219778
Buenos Aires,VILLA LA ARCADIA,Coronel Suárez,Coronel Suárez,-38.1345025284944,-61.7885553500206
Buenos Aires,CASTILLA,Chacabuco,Chacabuco,-34.6131247014799,-59.9005194580559
Buenos Aires,CHACABUCO,Chacabuco,Chacabuco,-34.6429843999409,-60.4701843504346
Buenos Aires,LOS ANGELES,Chacabuco,Chacabuco,-34.4575064000002,-60.1801845132051
Buenos Aires,O'HIGGINS,Chacabuco,Chacabuco,-34.5854707868254,-60.6986325840689
Buenos Aires,RAWSON,Chacabuco,Chacabuco,-34.6086374337309,-60.0677106761007
Buenos Aires,BARRIO LOMAS ALTAS,Chascomús,Chascomús,-35.5739889229165,-58.0680436475186
Buenos Aires,CHASCOMUS,Chascomús,Chascomús,-35.5743009068199,-58.0005532563664
Buenos Aires,BARRIO SAN CAYETANO,Chascomús,Chascomús,-35.5466815668936,-58.0013258753826
Buenos Aires,LAGUNA VITEL,Chascomús,Chascomús,-35.5404169288645,-58.1349194201315
Buenos Aires,MANUEL J. COBO,Lezama,Chascomús,-35.8748248734085,-57.8964226760932
Buenos Aires,VILLA PARQUE GIRADO,Chascomús,Chascomús,-35.6282696386352,-58.0145524400059
Buenos Aires,BENITEZ,Chivilcoy,Chivilcoy,-34.9660329017519,-60.1236385563996
Buenos Aires,CHIVILCOY,Chivilcoy,Chivilcoy,-34.8980163772726,-60.0188841030321
Buenos Aires,EMILIO AYARZA,Chivilcoy,Chivilcoy,-34.746060108407,-60.0392314192743
Buenos Aires,GOROSTIAGA,Chivilcoy,Chivilcoy,-34.839127302807,-59.8646671984292
Buenos Aires,LA RICA,Chivilcoy,Chivilcoy,-34.9739189538858,-59.8639302070489
Buenos Aires,MOQUEHUA,Chivilcoy,Chivilcoy,-35.0926582854313,-59.7745302971612
Buenos Aires,RAMON BIAUS,Chivilcoy,Chivilcoy,-35.0858455213162,-59.9236682591744
Buenos Aires,SAN SEBASTIAN,Chivilcoy,Chivilcoy,-34.9443783815263,-59.7018597369347
Buenos Aires,ANDANT,Daireaux,Daireaux,-36.5640579804658,-62.1324009778233
Buenos Aires,ARBOLEDAS,Daireaux,Daireaux,-36.8827708539235,-61.4878179060517
Buenos Aires,DAIREAUX,Daireaux,Daireaux,-36.6001749213746,-61.7450132654369
Buenos Aires,LA LARGA,Daireaux,Daireaux,-36.6749256386405,-61.9291952273289
Buenos Aires,SALAZAR,Daireaux,Daireaux,-36.307117163487,-62.2003365899
Buenos Aires,DOLORES,Dolores,Dolores,-36.3161215739926,-57.6752657333964
Buenos Aires,SEVIGNE,Dolores,Dolores,-36.2067284269712,-57.7413707296745
Buenos Aires,DIQUE Nº 1,Ensenada,Ensenada,-34.8758485548313,-57.9336298993983
Buenos Aires,ENSENADA,Ensenada,Ensenada,-34.8679770208454,-57.9214379246659
Buenos Aires,ISLA SANTIAGO (OESTE),Ensenada,Ensenada,-34.8370461990756,-57.8999620408998
Buenos Aires,PUNTA LARA,Ensenada,Ensenada,-34.8346689394776,-58.0010481870988
Buenos Aires,VILLA CATELA,Ensenada,Ensenada,-34.884600148052,-57.9511290255284
Buenos Aires,BELEN DE ESCOBAR,Escobar,Escobar,-34.3516704130246,-58.7832526742638
Buenos Aires,EL CAZADOR,Escobar,Escobar,-34.3034904902207,-58.7811274560113
Buenos Aires,GARIN,Escobar,Escobar,-34.428785229178,-58.7361732596546
